0.08416  	0.00623  	-0.6194  	0.34049  	-0.0675  	0.42797  	-0.2122  	0.39515  	0.73256  	0.17412  	-0.2860  	1.26747  	0.66555  	0.32730  	-0.7355  	0.97342  	-0.3914  	-0.0201  	-0.2989  	0.28318  	0.32293  	0.25511  	-0.5999  	0.39317  	-0.3369  	-0.3302  	0.18908  	-0.1393  	-0.7631  	-0.1917  	-0.1959  	0.20725  	0.32309  	-0.1521  	-0.0412  	-0.1049  	0.05283  	-0.0024  	0.20088  	0.15508  	0.11406  	0.03500  	0.20255  	-0.0177  	0.04434  	0.01304  	0.04303  	-0.0181  	0.01785  	0.12709  	-0.0398  	0.05959  	0.01584  	0.05085  	0.03217  	-0.0159  	-0.0579  	-0.0135  	-0.0200  	0.02648  	0.05361  	0.01122  	-0.0187  	0.04832  	0.07572  	-0.0717  	0.04835  	-0.0024  	0.02109  	0.08917  	0.57713  	259.602  	218.992  	
0.14859  	0.02396  	-0.5844  	0.38414  	-0.0579  	0.48107  	-0.2071  	0.42427  	0.76345  	0.16446  	-0.3024  	1.27391  	0.67641  	0.35700  	-0.6891  	0.98128  	-0.3921  	-0.0436  	-0.2975  	0.27391  	0.34895  	0.26239  	-0.5857  	0.41531  	-0.3366  	-0.3358  	0.21853  	-0.1775  	-0.7993  	-0.1945  	-0.1972  	0.21440  	0.33573  	-0.1549  	-0.0210  	-0.1157  	0.07735  	-0.0022  	0.19200  	0.15395  	0.09851  	0.02879  	0.20458  	-0.0129  	0.03848  	0.01152  	0.04182  	-0.0135  	0.02410  	0.12767  	-0.0379  	0.05780  	0.01405  	0.05183  	0.03014  	-0.0100  	-0.0558  	-0.0116  	-0.0215  	0.03143  	0.05278  	0.01223  	-0.0188  	0.04960  	0.07572  	-0.0717  	0.04835  	-0.0024  	0.02109  	0.08917  	0.57713  	259.602  	218.992  	
0.13494  	0.02571  	-0.5896  	0.37870  	-0.0596  	0.47553  	-0.2121  	0.42451  	0.76311  	0.16331  	-0.3048  	1.28724  	0.67759  	0.36087  	-0.6919  	0.98142  	-0.3863  	-0.0418  	-0.3015  	0.27538  	0.34092  	0.26128  	-0.5795  	0.40919  	-0.3407  	-0.3309  	0.20349  	-0.1663  	-0.7871  	-0.1883  	-0.1929  	0.20992  	0.33899  	-0.1517  	-0.0318  	-0.1211  	0.07097  	-0.0024  	0.19457  	0.15045  	0.10815  	0.02618  	0.20547  	-0.0136  	0.03643  	0.01186  	0.04236  	-0.0136  	0.02327  	0.12549  	-0.0402  	0.05822  	0.01404  	0.05165  	0.02966  	-0.0116  	-0.0570  	-0.0121  	-0.0221  	0.03035  	0.05387  	0.01260  	-0.0178  	0.04980  	0.07572  	-0.0717  	0.04835  	-0.0024  	0.02109  	0.08917  	0.57713  	259.602  	218.992  	
0.11522  	0.02362  	-0.5944  	0.36217  	-0.0673  	0.45762  	-0.2136  	0.41530  	0.75284  	0.16528  	-0.2947  	1.29052  	0.67625  	0.35252  	-0.7153  	0.98268  	-0.3856  	-0.0355  	-0.3029  	0.27664  	0.33433  	0.25817  	-0.5848  	0.40335  	-0.3441  	-0.3280  	0.19409  	-0.1587  	-0.7821  	-0.1887  	-0.1896  	0.20793  	0.33547  	-0.1510  	-0.0391  	-0.1171  	0.06598  	-0.0019  	0.19528  	0.14799  	0.11131  	0.02781  	0.20331  	-0.0143  	0.03612  	0.01227  	0.04173  	-0.0153  	0.02210  	0.12653  	-0.0401  	0.05863  	0.01594  	0.05171  	0.03030  	-0.0119  	-0.0572  	-0.0131  	-0.0217  	0.02873  	0.05439  	0.01310  	-0.0166  	0.05028  	0.07572  	-0.0717  	0.04835  	-0.0024  	0.02109  	0.08917  	0.57713  	259.602  	218.992  	
0.04236  	-0.0022  	-0.6342  	0.30999  	-0.0795  	0.40163  	-0.2231  	0.38292  	0.71831  	0.18220  	-0.2759  	1.27319  	0.66074  	0.31107  	-0.7599  	0.96610  	-0.3957  	-0.0058  	-0.3090  	0.28379  	0.29733  	0.25437  	-0.5975  	0.38780  	-0.3382  	-0.3180  	0.16557  	-0.1102  	-0.7347  	-0.1865  	-0.1808  	0.19986  	0.32647  	-0.1473  	-0.0611  	-0.1041  	0.03732  	-0.0094  	0.20875  	0.15824  	0.13134  	0.03957  	0.20990  	-0.0231  	0.04473  	0.01242  	0.04509  	-0.0223  	0.01660  	0.12682  	-0.0440  	0.05991  	0.01606  	0.04836  	0.03287  	-0.0201  	-0.0569  	-0.0140  	-0.0201  	0.02811  	0.05430  	0.01215  	-0.0168  	0.05071  	0.07572  	-0.0717  	0.04835  	-0.0024  	0.02109  	0.08917  	0.57713  	259.602  	218.992  	
0.03031  	-0.0171  	-0.6547  	0.31908  	-0.0626  	0.38443  	-0.2224  	0.36060  	0.71084  	0.19052  	-0.2948  	1.26685  	0.65837  	0.29786  	-0.7477  	0.95812  	-0.3989  	-0.0041  	-0.3065  	0.29380  	0.27464  	0.24959  	-0.6139  	0.38746  	-0.3350  	-0.3187  	0.15955  	-0.0969  	-0.7193  	-0.1840  	-0.1857  	0.19947  	0.31773  	-0.1468  	-0.0627  	-0.0939  	0.02088  	-0.0164  	0.21024  	0.16593  	0.13060  	0.04489  	0.20539  	-0.0219  	0.04855  	0.01201  	0.04551  	-0.0236  	0.01665  	0.12702  	-0.0428  	0.06008  	0.01679  	0.04842  	0.03199  	-0.0212  	-0.0568  	-0.0150  	-0.0196  	0.02774  	0.05447  	0.01012  	-0.0187  	0.05065  	0.07572  	-0.0717  	0.04835  	-0.0024  	0.02109  	0.08917  	0.57713  	259.602  	218.992  	
0.15643  	0.01518  	-0.5597  	0.35345  	-0.0675  	0.48646  	-0.1877  	0.42266  	0.77898  	0.19387  	-0.3088  	1.26559  	0.68299  	0.35511  	-0.7335  	1.02315  	-0.3894  	-0.0237  	-0.2884  	0.31696  	0.31448  	0.27465  	-0.5981  	0.41497  	-0.3126  	-0.3225  	0.20251  	-0.1388  	-0.7708  	-0.1904  	-0.1867  	0.20991  	0.35548  	-0.1570  	-0.0545  	-0.1011  	0.04603  	-0.0121  	0.21834  	0.15622  	0.10258  	0.03025  	0.22684  	-0.0127  	0.04162  	0.00914  	0.04334  	-0.0090  	0.03204  	0.12373  	-0.0418  	0.05938  	0.01099  	0.05592  	0.03394  	-0.0128  	-0.0584  	-0.0135  	-0.0221  	0.03195  	0.05502  	0.01051  	-0.0120  	0.05167  	0.07572  	-0.0717  	0.04835  	-0.0024  	0.02109  	0.08917  	0.57713  	259.602  	218.992  	
0.18411  	-0.0112  	-0.5626  	0.43175  	-0.0134  	0.46872  	-0.1632  	0.40208  	0.74111  	0.22101  	-0.3882  	1.23378  	0.70577  	0.34418  	-0.6997  	0.99164  	-0.4142  	-0.0174  	-0.2941  	0.31820  	0.23894  	0.27038  	-0.6362  	0.43305  	-0.2280  	-0.3486  	0.20897  	-0.1063  	-0.6800  	-0.1522  	-0.2032  	0.20118  	0.32969  	-0.1489  	-0.0504  	-0.0493  	0.00421  	-0.0218  	0.23224  	0.16936  	0.09246  	0.03988  	0.21023  	-0.0099  	0.03920  	0.00462  	0.03336  	-0.0006  	0.03487  	0.11938  	-0.0318  	0.05698  	0.01392  	0.04727  	0.03223  	-0.0116  	-0.0472  	-0.0164  	-0.0224  	0.03009  	0.05420  	0.00257  	-0.0027  	0.05380  	0.07572  	-0.0717  	0.04835  	-0.0024  	0.02109  	0.08917  	0.57713  	259.602  	218.992  	
0.20415  	0.00927  	-0.5478  	0.48595  	-0.0025  	0.53552  	-0.1638  	0.44790  	0.74888  	0.17190  	-0.3780  	1.24891  	0.71575  	0.38010  	-0.6387  	1.01141  	-0.3978  	-0.0644  	-0.2959  	0.30714  	0.33241  	0.29790  	-0.6041  	0.47451  	-0.2273  	-0.3511  	0.27810  	-0.1589  	-0.7355  	-0.1612  	-0.2291  	0.21315  	0.31475  	-0.1560  	-0.0161  	-0.0714  	0.04470  	-0.0294  	0.22469  	0.18614  	0.05416  	0.05250  	0.19679  	0.00479  	0.04416  	0.00569  	0.03883  	-0.0068  	0.03640  	0.12049  	-0.0315  	0.05627  	0.01031  	0.04603  	0.03435  	-0.0061  	-0.0489  	-0.0138  	-0.0256  	0.02907  	0.05878  	0.00641  	-0.0107  	0.05246  	0.07572  	-0.0717  	0.04835  	-0.0024  	0.02109  	0.08917  	0.57713  	259.602  	218.992  	
0.29266  	0.01794  	-0.4696  	0.39978  	-0.0271  	0.50313  	-0.2020  	0.41736  	0.73405  	0.23105  	-0.3365  	1.27988  	0.67648  	0.34400  	-0.8053  	1.07935  	-0.3894  	-0.0489  	-0.2796  	0.28605  	0.31221  	0.26317  	-0.6337  	0.48149  	-0.2122  	-0.3455  	0.28647  	-0.1934  	-0.8133  	-0.1495  	-0.2322  	0.24752  	0.30584  	-0.1662  	0.00602  	-0.0675  	0.06275  	-0.0217  	0.23335  	0.18025  	0.02913  	0.04890  	0.22363  	0.01495  	0.04205  	0.01265  	0.02650  	0.00769  	0.04114  	0.11675  	-0.0216  	0.05572  	0.01324  	0.04603  	0.03315  	-0.0013  	-0.0544  	-0.0194  	-0.0297  	0.02968  	0.04752  	0.00467  	-0.0141  	0.05102  	0.07572  	-0.0717  	0.04835  	-0.0024  	0.02109  	0.08917  	0.57713  	259.602  	218.992  	
0.23807  	7.12312  	-0.4966  	0.37214  	0.01980  	0.47431  	-0.1548  	0.42610  	0.74974  	0.25555  	-0.3265  	1.27132  	0.68506  	0.31316  	-0.8442  	1.09189  	-0.4283  	-0.0304  	-0.2734  	0.37370  	0.27764  	0.26458  	-0.7122  	0.42674  	-0.1575  	-0.3632  	0.22281  	-0.1092  	-0.6989  	-0.1493  	-0.2382  	0.22280  	0.31185  	-0.1540  	-0.0314  	-0.0300  	0.00290  	-0.0446  	0.27948  	0.19572  	0.08712  	0.06026  	0.22556  	0.00340  	0.03396  	0.00650  	0.02819  	0.01633  	0.04969  	0.11209  	-0.0191  	0.05616  	0.01184  	0.05298  	0.03331  	-0.0073  	-0.0510  	-0.0149  	-0.0273  	0.03365  	0.04294  	9.76547  	-0.0158  	0.04553  	0.07572  	-0.0717  	0.04835  	-0.0024  	0.02109  	0.08917  	0.57713  	259.602  	218.992  	
0.12851  	-0.0162  	-0.5371  	0.36761  	0.01980  	0.44791  	-0.1755  	0.38420  	0.76780  	0.28361  	-0.4306  	1.24025  	0.66556  	0.33465  	-0.7709  	1.05931  	-0.4109  	-0.0329  	-0.2694  	0.39934  	0.23973  	0.27968  	-0.7486  	0.41974  	-0.0509  	-0.3758  	0.25285  	-0.1028  	-0.6386  	-0.1071  	-0.2556  	0.20911  	0.28072  	-0.1454  	-0.0396  	0.00051  	-0.0211  	-0.0677  	0.28693  	0.24021  	0.06218  	0.06528  	0.20676  	-0.0026  	0.03876  	-0.0084  	0.02796  	0.01826  	0.05954  	0.10042  	-0.0126  	0.04924  	0.01034  	0.05205  	0.03153  	-0.0051  	-0.0479  	-0.0136  	-0.0231  	0.03970  	0.03992  	-0.0046  	-0.0134  	0.04874  	0.07572  	-0.0717  	0.04835  	-0.0024  	0.02109  	0.08917  	0.57713  	259.602  	218.992  	
0.16290  	-0.0379  	-0.6815  	0.75374  	0.19758  	0.50327  	-0.1581  	0.35815  	0.68253  	0.22676  	-0.6224  	1.28845  	0.75616  	0.46291  	-0.5367  	0.90868  	-0.4050  	-0.0515  	-0.2995  	0.36044  	0.15170  	0.35126  	-0.7680  	0.39491  	-0.1007  	-0.3730  	0.27536  	-0.0307  	-0.5509  	-0.0844  	-0.2650  	0.19189  	0.29901  	-0.1337  	-0.0430  	0.00832  	-0.1229  	-0.1019  	0.30992  	0.27726  	0.01146  	0.06371  	0.17772  	0.00028  	0.06530  	0.00477  	0.02473  	0.02391  	0.05049  	0.10105  	-0.0133  	0.05568  	0.01062  	0.04520  	0.03549  	-0.0090  	-0.0415  	-0.0084  	-0.0111  	0.03760  	0.05013  	-0.0108  	-0.0091  	0.04699  	0.07572  	-0.0717  	0.04835  	-0.0024  	0.02109  	0.08917  	0.57713  	259.602  	218.992  	
